analysis_type,seed,fold,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp,selection_note,train_recall,train_specificity,train_precision,train_f1
fixed_global_sweep,42,1,0.5,38,0.7333333333333333,0.6956521739130435,0.6111111111111112,0.6666666666666666,0.7913043478260869,0.7105263157894737,0.7144927536231884,16,7,4,11,"16,7,4,11",,,,,
fixed_global_sweep,42,2,0.5,38,0.7142857142857143,0.75,0.625,0.6666666666666666,0.6785714285714286,0.7368421052631579,0.7321428571428572,18,6,4,10,"18,6,4,10",,,,,
fixed_global_sweep,42,3,0.5,38,0.7727272727272727,0.625,0.7391304347826086,0.7555555555555555,0.8068181818181819,0.7105263157894737,0.6988636363636364,10,6,5,17,"10,6,5,17",,,,,
fixed_global_sweep,42,4,0.5,39,0.6875,0.4782608695652174,0.4782608695652174,0.5641025641025641,0.5991847826086958,0.5641025641025641,0.5828804347826086,11,12,5,11,"11,12,5,11",,,,,
fixed_global_sweep,42,5,0.5,38,0.5882352941176471,0.7619047619047619,0.6666666666666666,0.625,0.6204481792717087,0.6842105263157895,0.6750700280112045,16,5,7,10,"16,5,7,10",,,,,
fixed_global_sweep,43,1,0.5,38,0.9,0.5,0.391304347826087,0.5454545454545454,0.7339285714285715,0.6052631578947368,0.7,14,14,1,9,"14,14,1,9",,,,,
fixed_global_sweep,43,2,0.5,38,0.6363636363636364,0.6875,0.7368421052631579,0.6829268292682927,0.6164772727272727,0.6578947368421053,0.6619318181818181,11,5,8,14,"11,5,8,14",,,,,
fixed_global_sweep,43,3,0.5,39,0.631578947368421,0.9,0.8571428571428571,0.7272727272727273,0.7289473684210526,0.7692307692307693,0.7657894736842106,18,2,7,12,"18,2,7,12",,,,,
fixed_global_sweep,43,4,0.5,38,0.625,0.8181818181818182,0.7142857142857143,0.6666666666666666,0.6946022727272726,0.7368421052631579,0.7215909090909092,18,4,6,10,"18,4,6,10",,,,,
fixed_global_sweep,43,5,0.5,38,0.7058823529411765,0.7142857142857143,0.6666666666666666,0.6857142857142857,0.7338935574229692,0.7105263157894737,0.7100840336134454,15,6,5,12,"15,6,5,12",,,,,
