analysis_type,threshold,n_seeds,speaker_recall_mean,speaker_recall_std,speaker_specificity_mean,speaker_specificity_std,speaker_precision_mean,speaker_precision_std,speaker_f1_mean,speaker_f1_std,true_negatives_mean,true_negatives_total,false_positives_mean,false_positives_total,false_negatives_mean,false_negatives_total,true_positives_mean,true_positives_total,target_zone_pass,specificity_floor_pass,selection_note,selected_threshold_mean,selected_threshold_min,selected_threshold_max
fixed_global_sweep,0.5,5,0.6595238095238095,0.031043820977155467,0.6803738317757009,0.022312778292174436,0.6183728390987919,0.021600416600108894,0.6381243803449688,0.023584871049843817,72.8,364,34.2,171,28.6,143,55.4,277,no,yes,,,,
fixed_global_sweep,0.475,5,0.6666666666666666,0.03764616262105212,0.6542056074766356,0.01869158878504673,0.6020645238779926,0.014664330607420303,0.6324454016858441,0.02223443768662556,70.0,350,37.0,185,28.0,140,56.0,280,no,yes,,,,
fixed_global_sweep,0.45,5,0.6785714285714285,0.03367175148507367,0.6485981308411215,0.018218307186558813,0.6025174620838587,0.011690517388077973,0.6380352902301759,0.018523134259376472,69.4,347,37.6,188,27.0,135,57.0,285,no,yes,,,,
fixed_global_sweep,0.425,5,0.688095238095238,0.027147033930931833,0.633644859813084,0.0259335269635731,0.5961568382429511,0.014681723968674057,0.6385633324027673,0.014495310534391672,67.8,339,39.2,196,26.2,131,57.8,289,no,yes,,,,
fixed_global_sweep,0.4,5,0.7,0.025808908796046214,0.611214953271028,0.02692497250633259,0.5859777467385039,0.010479462574972434,0.6376267205137282,0.008754064931562975,65.4,327,41.6,208,25.2,126,58.8,294,yes,yes,,,,
fixed_global_sweep,0.375,5,0.7023809523809523,0.026619856874997523,0.5925233644859812,0.035953988900320276,0.5756379688922552,0.014465669811993181,0.6322995283737691,0.00792299309519858,63.4,317,43.6,218,25.0,125,59.0,295,yes,yes,,,,
fixed_global_sweep,0.35,5,0.711904761904762,0.02580890879604621,0.5700934579439252,0.028805672911069988,0.5655274198131341,0.009189218672808985,0.6300247137360538,0.007003837969373952,61.0,305,46.0,230,24.2,121,59.8,299,yes,yes,max_recall_subject_to_specificity_ge_0.50,,,
fixed_global_sweep,0.325,5,0.7166666666666668,0.019561519910898842,0.3925233644859813,0.02643389836211393,0.4809499051512316,0.01073077059741827,0.5755162902638273,0.01137630200327357,42.0,210,65.0,325,23.8,119,60.2,301,no,no,,,,
fixed_global_sweep,0.3,5,0.7214285714285715,0.015971914124998533,0.3813084112149533,0.0259335269635731,0.4780515506515123,0.010645718516631519,0.5749732659414137,0.010401789210815235,40.8,204,66.2,331,23.4,117,60.6,303,no,no,,,,
fixed_global_sweep,0.275,5,0.7238095238095239,0.019561519910898807,0.3663551401869159,0.0319675352831534,0.47298118662413124,0.013666601962636252,0.572009975981501,0.013676667748967548,39.2,196,67.8,339,23.2,116,60.8,304,no,no,,,,
fixed_global_sweep,0.25,5,0.7333333333333334,0.021626073957839206,0.34766355140186916,0.029107311219434464,0.4689236760352003,0.01136380273965676,0.5719498906134927,0.01239011911464145,37.2,186,69.8,349,22.4,112,61.6,308,no,no,,,,
fixed_global_sweep,0.225,5,0.7404761904761905,0.02842222949122219,0.34018691588785044,0.029256964191586035,0.4684391074830735,0.010139465060365034,0.5737042939751726,0.013239442416025213,36.4,182,70.6,353,21.8,109,62.2,311,no,no,,,,
fixed_global_sweep,0.2,5,0.7476190476190476,0.0330343736321705,0.33457943925233646,0.028347197921688043,0.4686625657978136,0.011706408656594721,0.5760058158650965,0.016449145888570653,35.8,179,71.2,356,21.2,106,62.8,314,no,no,,,,
train_selected_threshold,,5,0.6595238095238095,0.031043820977155467,0.6803738317757009,0.022312778292174436,0.6183728390987919,0.021600416600108894,0.6381243803449688,0.023584871049843817,72.8,364,34.2,171,28.6,143,55.4,277,no,yes,threshold_selected_on_training_speakers_only,0.5,0.5,0.5
