model,feature,importance
logistic_regression,f0_max,1.2653268195371676
logistic_regression,zcr_std,1.249041391059515
logistic_regression,f0_mean,0.9577638571788503
logistic_regression,mfcc_2_max,0.8555898500776425
logistic_regression,mfcc_8_max,0.7037223615780109
logistic_regression,mfcc_3_std,0.6997138042745598
logistic_regression,mfcc_2_std,0.6658323773106515
logistic_regression,mfcc_8_std,0.6448044650790837
logistic_regression,mfcc_6_min,0.5973761777129505
logistic_regression,mfcc_6_std,0.5953924267675846
logistic_regression,mfcc_13_min,0.5921287946986434
logistic_regression,mfcc_10_mean,0.5672753690420522
logistic_regression,mfcc_4_std,0.5493053929477502
logistic_regression,rms_std,0.4894241547570326
logistic_regression,mfcc_3_min,0.4887242344230979
logistic_regression,mfcc_11_max,0.47987534567619405
logistic_regression,mfcc_1_min,0.4714089849088018
logistic_regression,mfcc_5_std,0.46670361613443745
logistic_regression,mfcc_12_max,0.4308798258020859
logistic_regression,mfcc_3_max,0.40706321488701736
logistic_regression,mfcc_3_mean,0.4042339570324602
logistic_regression,mfcc_7_max,0.39151470306410097
logistic_regression,zcr_max,0.3708000122679834
logistic_regression,mfcc_9_std,0.35969245353255674
logistic_regression,speaking_rate_proxy,0.35776374975017045
logistic_regression,mfcc_11_mean,0.35166381538395297
logistic_regression,mfcc_13_mean,0.340056697155938
logistic_regression,mfcc_10_std,0.3253815115824998
logistic_regression,mfcc_8_mean,0.302627144712126
logistic_regression,mfcc_4_min,0.298713286987919
logistic_regression,mfcc_1_mean,0.29261762367155075
logistic_regression,pause_ratio,0.290813450193278
logistic_regression,mfcc_10_max,0.2692427429999599
logistic_regression,rms_mean,0.2559777759845004
logistic_regression,zcr_min,0.25559690386284806
logistic_regression,mfcc_11_min,0.25136160086002884
logistic_regression,mfcc_6_mean,0.24645938461167083
logistic_regression,f0_std,0.24580864201951344
logistic_regression,rms_max,0.2138810876303575
logistic_regression,mfcc_1_std,0.20306736887980237
logistic_regression,mfcc_5_max,0.202135529121914
logistic_regression,mfcc_5_min,0.19903767751220736
logistic_regression,mfcc_12_min,0.19864082409901695
logistic_regression,mfcc_9_min,0.1912190792088042
logistic_regression,mfcc_9_max,0.17339198171181497
logistic_regression,mfcc_12_mean,0.16622733200283832
logistic_regression,mfcc_13_std,0.14504794387922415
logistic_regression,mfcc_4_max,0.13850220745989153
logistic_regression,mfcc_10_min,0.13358521505778645
logistic_regression,mfcc_8_min,0.13169077763752554
logistic_regression,mfcc_7_std,0.13018358758485168
logistic_regression,f0_min,0.12158127089728271
logistic_regression,mfcc_1_max,0.11491924917292562
logistic_regression,mfcc_2_mean,0.11306909007034821
logistic_regression,mfcc_9_mean,0.10697335006351119
logistic_regression,duration_sec,0.1023597104471307
logistic_regression,mfcc_2_min,0.09696199801515717
logistic_regression,mfcc_4_mean,0.09681887700794452
logistic_regression,mfcc_7_min,0.09658747548617139
logistic_regression,rms_min,0.09004735535874954
logistic_regression,mfcc_11_std,0.08921257327016811
logistic_regression,voiced_ratio,0.08654054098394669
logistic_regression,mfcc_7_mean,0.07680628922856694
logistic_regression,mfcc_13_max,0.07441090015667366
logistic_regression,mfcc_5_mean,0.0465679701433594
logistic_regression,zcr_mean,0.03369411980274439
random_forest,mfcc_2_std,0.027067424487830893
random_forest,mfcc_7_std,0.025314007465996435
random_forest,mfcc_6_min,0.025010710642389303
random_forest,mfcc_6_mean,0.024982256860860176
random_forest,mfcc_8_std,0.02365069643772297
random_forest,mfcc_11_max,0.02183595293481654
random_forest,mfcc_5_std,0.020935146942287194
