seed,backbone,classifier,aggregation,threshold_policy,selected_threshold,speaker_recall,speaker_specificity,speaker_precision,speaker_f1,speaker_auc,pass_target_zone,n_folds,n_speakers,selected_threshold_std,selected_threshold_min,selected_threshold_max,calibration_statuses
42,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.9800000000000001,0.30952380952380953,0.9345794392523364,0.7878787878787878,0.4444444444444444,0.5999109924343569,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5,0.7570093457943925,0.6176470588235294,0.5526315789473685,0.625,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,max_score,constrained_spec_ge_0.50,0.9800000000000001,0.30952380952380953,0.8504672897196262,0.6190476190476191,0.4126984126984127,0.5736537605696485,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,max_score,default_0.5,0.5,0.5,0.6074766355140186,0.5,0.5,0.5736537605696485,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.9800000000000001,0.2619047619047619,0.9906542056074766,0.9565217391304348,0.411214953271028,0.6517578994214509,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.47619047619047616,0.8878504672897196,0.7692307692307693,0.5882352941176471,0.6517578994214509,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,constrained_spec_ge_0.50,0.9800000000000001,0.2619047619047619,0.9813084112149533,0.9166666666666666,0.4074074074074074,0.6268357810413885,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,default_0.5,0.5,0.47619047619047616,0.8037383177570093,0.6557377049180327,0.5517241379310345,0.6268357810413885,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,constrained_spec_ge_0.50,0.9800000000000001,0.2619047619047619,0.9906542056074766,0.9565217391304348,0.411214953271028,0.6505340453938585,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,default_0.5,0.5,0.47619047619047616,0.8785046728971962,0.7547169811320755,0.583941605839416,0.6505340453938585,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,constrained_spec_ge_0.50,0.9800000000000001,0.30952380952380953,0.9345794392523364,0.7878787878787878,0.4444444444444444,0.6152647975077883,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
42,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,default_0.5,0.5,0.5,0.7009345794392523,0.5675675675675675,0.5316455696202531,0.6152647975077883,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.9439252336448598,0.7777777777777778,0.3783783783783784,0.5619158878504673,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5238095238095238,0.7757009345794392,0.6470588235294118,0.5789473684210527,0.6510903426791277,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,max_score,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.8411214953271028,0.5526315789473685,0.3442622950819672,0.5873386737872719,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,max_score,default_0.5,0.5,0.5238095238095238,0.6261682242990654,0.5238095238095238,0.5238095238095238,0.5873386737872719,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.9800000000000001,0.21428571428571427,0.9813084112149533,0.9,0.34615384615384615,0.6741210502892746,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.5119047619047619,0.8878504672897196,0.7818181818181819,0.6187050359712231,0.6741210502892746,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,constrained_spec_ge_0.50,0.9800000000000001,0.21428571428571427,0.9626168224299065,0.8181818181818182,0.33962264150943394,0.6460836671117045,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,default_0.5,0.5,0.5119047619047619,0.7850467289719626,0.6515151515151515,0.5733333333333334,0.6460836671117045,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,constrained_spec_ge_0.50,0.9800000000000001,0.21428571428571427,0.9813084112149533,0.9,0.34615384615384615,0.6727859368046284,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,default_0.5,0.5,0.5119047619047619,0.8785046728971962,0.7678571428571429,0.6142857142857143,0.6727859368046284,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.9345794392523364,0.75,0.375,0.6341789052069425,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
43,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,default_0.5,0.5,0.5238095238095238,0.6915887850467289,0.5714285714285714,0.546583850931677,0.6341789052069425,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.982,0.2619047619047619,0.9345794392523364,0.7586206896551724,0.3893805309734513,0.5759902091677792,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.4642857142857143,0.7383177570093458,0.582089552238806,0.5165562913907285,0.5939029817534491,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
