seed,ensemble_method,component_models,component_model_ids,aggregation,component_aggregations,threshold_policy,selected_threshold,selected_threshold_std,speaker_recall,speaker_specificity,speaker_precision,speaker_f1,speaker_auc,pass_target_zone,n_folds,n_speakers,duplicate_validation_speaker_rows,selection_notes,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp
42,mean_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,default_0.5,0.5,0.0,0.5119047619047619,0.8598130841121495,0.7413793103448276,0.6056338028169014,0.6632176234979974,no,5,191,0,fixed_default_probability_threshold,92,15,41,43,"92,15,41,43"
42,mean_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,constrained_spec_ge_0.50,0.9800000000000001,1.2412670766236366e-16,0.09523809523809523,1.0,1.0,0.17391304347826086,0.6478638184245662,no,5,191,0,max_recall_subject_to_specificity_ge_0.50,107,0,76,8,"107,0,76,8"
42,max_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,default_0.5,0.5,0.0,0.7023809523809523,0.6635514018691588,0.6210526315789474,0.659217877094972,0.7001001335113485,yes,5,191,0,fixed_default_probability_threshold,71,36,25,59,"71,36,25,59"
42,max_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,constrained_spec_ge_0.50,0.986,0.005477225575051666,0.34523809523809523,0.9813084112149533,0.9354838709677419,0.5043478260869565,0.6633845126835781,no,5,191,0,max_recall_subject_to_specificity_ge_0.50,105,2,55,29,"105,2,55,29"
42,majority_vote_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,default_0.5,0.5,0.0,0.5238095238095238,0.7570093457943925,0.6285714285714286,0.5714285714285714,0.7082220738762794,no,5,191,0,fixed_default_probability_threshold,81,26,40,44,"81,26,40,44"
42,majority_vote_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,constrained_spec_ge_0.50,0.9800000000000001,1.2412670766236366e-16,0.21428571428571427,1.0,1.0,0.35294117647058826,0.6794615042278593,no,5,191,0,max_recall_subject_to_specificity_ge_0.50,107,0,66,18,"107,0,66,18"
43,mean_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,default_0.5,0.5,0.0,0.4642857142857143,0.8691588785046729,0.7358490566037735,0.5693430656934306,0.6673342234089897,no,5,191,0,fixed_default_probability_threshold,93,14,45,39,"93,14,45,39"
43,mean_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,constrained_spec_ge_0.50,0.9800000000000001,1.2412670766236366e-16,0.05952380952380952,1.0,1.0,0.11235955056179775,0.614708500222519,no,5,191,0,max_recall_subject_to_specificity_ge_0.50,107,0,79,5,"107,0,79,5"
43,max_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,default_0.5,0.5,0.0,0.6785714285714286,0.7102803738317757,0.6477272727272727,0.6627906976744186,0.7027703604806408,no,5,191,0,fixed_default_probability_threshold,76,31,27,57,"76,31,27,57"
43,max_probability_ensemble,HuBERT logistic majority_vote default_0.5 + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5 + facebook/wav2vec2-base logistic mean_score default_0.5,hubert_only_logistic + hubert_plus_handcrafted_logistic_regression_platt + phaseC_second_embedding_logistic,speaker_level_component_scores,HuBERT logistic majority_vote default_0.5:majority_vote + HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5:majority_vote + facebook/wav2vec2-base logistic mean_score default_0.5:mean_score,constrained_spec_ge_0.50,0.986,0.005477225575051666,0.3333333333333333,0.9813084112149533,0.9333333333333333,0.49122807017543857,0.6372385402759235,no,5,191,0,max_recall_subject_to_specificity_ge_0.50,105,2,56,28,"105,2,56,28"
